time,price
1610661600,38745
1610665200,38939
1610668800,39165
1610672400,39408
1610676000,39121
1610679600,39224
1610683200,38646
1610686800,38392
1610690400,37791
1610694000,37988
1610697600,38417
1610701200,38243
1610704800,38644
1610708400,38417
1610712000,38071
1610715600,37737
1610719200,37630
1610722800,36875
1610726400,35543
1610730000,36141
1610733600,35938
1610737200,35413
1610740800,35155
1610744400,35577
1610748000,36222
1610751600,36578
1610755200,36750
1610758800,37164
1610762400,37005
1610766000,36176
1610769600,36535
1610773200,36577
1610776800,35842
1610780400,36127
1610784000,36584
1610787600,37471
1610791200,37450
1610794800,37406
1610798400,37687
1610802000,37357
1610805600,37159
1610809200,37226
1610812800,37455
1610816400,37192
1610820000,36880
1610823600,36506
1610827200,36396
1610830800,36712
1610834400,35911
1610838000,36054
1610841600,35979
1610845200,36390
1610848800,36700
1610852400,36415
1610856000,36162
1610859600,35845
1610863200,35540
1610866800,35354
1610870400,34751
1610874000,34675
1610877600,34119
1610881200,34812
1610884800,35295
1610888400,35121
1610892000,34865
1610895600,34756
1610899200,35738
1610902800,35923
1610906400,35819
1610910000,35679
1610913600,35620
1610917200,36063
1610920800,36556
1610924400,36176
1610928000,35831
1610931600,35943
1610935200,36120
1610938800,35761
1610942400,35120
1610946000,35123
1610949600,35354
1610953200,35185
1610956800,36097
1610960400,36213
1610964000,36560
1610967600,36208
1610971200,36439
1610974800,37009
1610978400,36776
1610982000,36450
1610985600,36431
1610989200,36203
1610992800,35700
1610996400,35769
1611000000,35973
1611003600,36127
1611007200,36232
1611010800,36496
1611014400,36664
1611018000,36695
1611021600,36942
1611025200,36851
1611028800,36513
1611032400,36355
1611036000,36293
1611039600,36674
1611043200,37238
1611046800,37245
1611050400,37100
1611054000,37127
1611057600,37305
1611061200,36832
1611064800,37117
1611068400,37018
1611072000,37346
1611075600,37367
1611079200,37169
1611082800,36476
1611086400,36257
1611090000,36451
1611093600,36474
1611097200,36646
1611100800,35899
1611104400,36308
1611108000,36104
1611111600,36090
1611115200,35067
1611118800,35272
1611122400,35497
1611126000,35279
1611129600,35684
1611133200,35477
1611136800,34781
1611140400,34715
1611144000,34405
1611147600,34731
1611151200,34967
1611154800,34899
1611158400,34198
1611162000,34692
1611165600,34849
1611169200,35226
1611172800,35223
1611176400,34974
1611180000,34897
1611183600,34984
1611187200,35524
1611190800,35305
1611194400,34793
1611198000,34571
1611201600,34594
1611205200,34225
1611208800,34532
1611212400,34647
1611216000,34594
1611219600,33202
1611223200,32846
1611226800,32810
1611230400,32165
1611234000,32468
1611237600,32287
1611241200,31122
1611244800,31339
1611248400,31022
1611252000,31885
1611255600,31720
1611259200,32447
1611262800,31861
1611266400,31197
1611270000,30874
1611273600,30839
1611277200,29496
